일자,종가지수,평균지수,한국금리,미국금리,3년 국채,동행지수,선행지수,한국GDP,GDP+금리,GDP+금리+선행지수,GDP+금리+선행지수(크게),금리,100,금리+선행지수,3년국채+선행지수,
199906,883,818.835,4.75,5,6.883846154,98.1,102.7,"564,334.15"," 296,275 "," 304,274.87 "," 376,269.79 ",0.525,1.27,66.675,0.311615385,39.57515385
199907,969.72,956.365,4.75,5,7.887692308,98.8,103.9,"568,853.96"," 298,648 "," 310,295.61 "," 415,121.18 ",0.525,1.39,72.975,0.211230769,29.36107692
199908,937.88,918.175,4.75,5.25,8.908846154,99.3,104.6,"573,373.77"," 301,021 "," 314,868.20 "," 439,490.99 ",0.525,1.46,76.65,0.109115385,15.93084615
199909,836.18,910.375,4.75,5.25,9.333478261,99.8,104.6,"577,893.58"," 303,394 "," 317,350.26 "," 442,955.43 ",0.525,1.46,76.65,0.066652174,9.731217391
199910,833.51,827.98,4.75,5.25,8.281538462,99.9,104.2,"582,413.38"," 305,767 "," 318,609.24 "," 434,189.18 ",0.525,1.42,74.55,0.171846154,24.40215385
199911,996.66,940.59,4.75,5.5,8.463076923,100.4,104.6,"586,933.19"," 308,140 "," 322,314.36 "," 449,884.29 ",0.525,1.46,76.65,0.153692308,22.43907692
199912,1028.07,986.13,4.75,5.5,8.8496,100.4,104.5,"591,453.00"," 310,513 "," 324,485.90 "," 450,243.60 ",0.525,1.45,76.125,0.11504,16.6808
200001,943.88,971,4.75,5.5,9.279583333,100.4,105.6,"596,468.12"," 313,146 "," 330,681.92 "," 488,507.39 ",0.525,1.56,81.9,0.072041667,11.2385
200002,828.38,901.12,4.75,5.75,8.986956522,100.4,105.6,"601,483.23"," 315,779 "," 333,462.30 "," 492,614.77 ",0.525,1.56,81.9,0.101304348,15.80347826
200003,860.94,874.425,5,6,9.055,100.7,105.6,"606,498.35"," 303,249 "," 320,231.13 "," 473,068.71 ",0.5,1.56,78,0.0945,14.742
200004,725.39,784.385,5,6,8.950434783,100.9,104.9,"611,513.47"," 305,757 "," 320,738.81 "," 455,577.53 ",0.5,1.49,74.5,0.104956522,15.63852174
200005,731.88,701.8,5,6.5,8.957083333,101.4,104.5,"616,528.58"," 308,264 "," 322,136.18 "," 446,983.22 ",0.5,1.45,72.5,0.104291667,15.12229167
200006,821.22,790.29,5,6.5,8.6572,101.7,104.6,"621,543.70"," 310,772 "," 325,067.36 "," 453,726.90 ",0.5,1.46,73,0.13428,19.60488
200007,705.97,770.94,5,6.5,8.0024,102.6,104.4,"626,558.82"," 313,279 "," 327,063.70 "," 451,122.35 ",0.5,1.44,72,0.19976,28.76544
200008,688.62,710.045,5,6.5,7.850384615,102.5,104.9,"631,573.93"," 315,787 "," 331,260.53 "," 470,522.58 ",0.5,1.49,74.5,0.214961538,32.02926923
200009,613.22,624.64,5,6.5,7.956521739,102.3,104,"636,589.05"," 318,295 "," 331,026.31 "," 445,612.34 ",0.5,1.4,70,0.204347826,28.60869565
200010,514.48,549.9,5,6.5,7.838,101.7,102.3,"641,604.17"," 320,802 "," 328,180.53 "," 394,586.56 ",0.5,1.23,61.5,0.2162,26.5926
200011,509.23,540.495,5.25,6.5,7.314615385,101.2,99.5,"646,619.28"," 307,144 "," 305,608.44 "," 291,786.95 ",0.475,0.95,45.125,0.268538462,25.51115385
200012,504.62,524.845,5.25,6.5,6.7884,100.6,98.1,"651,634.40"," 309,526 "," 303,645.34 "," 250,716.34 ",0.475,0.81,38.475,0.32116,26.01396
200101,617.91,564.21,5.25,6.5,5.925882353,100.2,96.5,"656,249.98"," 311,719 "," 300,808.58 "," 202,617.18 ",0.475,0.65,30.875,0.407411765,26.48176471
200102,578.1,595.91,5.25,6,5.4165,99.9,96.2,"660,865.55"," 313,911 "," 301,982.51 "," 194,624.90 ",0.475,0.62,29.45,0.45835,28.4177
200103,523.22,548.125,5,5.5,5.842380952,99.8,96.3,"665,481.13"," 332,741 "," 320,429.16 "," 209,626.55 ",0.5,0.63,31.5,0.415761905,26.193
