기준일,기준가격,등락가,등락비율,,
2007-12-07,30.00 ,0.00 ,0.00 ,,
2007-12-12,30.50 ,0.50 ,1.67 ,,
2007-12-14,31.00 ,0.50 ,1.64 ,,
2007-12-19,31.00 ,0.00 ,0.00 ,,
2007-12-21,32.00 ,1.00 ,3.23 ,,
2007-12-26,35.00 ,3.00 ,9.38 ,,
2007-12-28,36.00 ,1.00 ,2.86 ,,
2008-01-02,36.00 ,0.00 ,0.00 ,,
2008-01-04,37.00 ,1.00 ,2.78 ,,
2008-01-09,40.00 ,3.00 ,8.11 ,,
2008-01-11,41.00 ,1.00 ,2.50 ,,
2008-01-16,43.00 ,2.00 ,4.88 ,,
2008-01-18,49.00 ,6.00 ,13.95 ,,
2008-01-23,49.00 ,0.00 ,0.00 ,,
2008-01-25,49.00 ,0.00 ,0.00 ,,
2008-01-30,50.00 ,1.00 ,2.04 ,,
2008-02-01,50.00 ,0.00 ,0.00 ,,
2008-02-13,50.00 ,0.00 ,0.00 ,,
2008-02-15,50.00 ,0.00 ,0.00 ,,
2008-02-20,50.00 ,0.00 ,0.00 ,,
2008-02-22,50.00 ,0.00 ,0.00 ,,
2008-02-27,50.00 ,0.00 ,0.00 ,,
2008-02-29,50.00 ,0.00 ,0.00 ,,
2008-03-05,50.00 ,0.00 ,0.00 ,,
2008-03-07,52.00 ,2.00 ,4.00 ,,
2008-03-12,54.00 ,2.00 ,3.85 ,,
2008-03-14,55.00 ,1.00 ,1.85 ,,
2008-03-19,55.00 ,0.00 ,0.00 ,,
2008-03-21,55.00 ,0.00 ,0.00 ,,
2008-03-26,55.00 ,0.00 ,0.00 ,,
2008-04-02,55.00 ,0.00 ,0.00 ,,
2008-04-09,55.00 ,0.00 ,0.00 ,,
2008-04-11,55.00 ,0.00 ,0.00 ,,
2008-04-16,55.00 ,0.00 ,0.00 ,,
2008-04-18,55.00 ,0.00 ,0.00 ,,
2008-04-23,55.00 ,0.00 ,0.00 ,,
2008-04-25,55.00 ,0.00 ,0.00 ,,
2008-04-30,55.00 ,0.00 ,0.00 ,,
2008-05-07,54.00 ,-1.00 ,-1.82 ,,
2008-05-09,54.00 ,0.00 ,0.00 ,,
2008-05-14,54.00 ,0.00 ,0.00 ,,
2008-05-16,54.00 ,0.00 ,0.00 ,,
2008-05-21,55.00 ,1.00 ,1.85 ,,
2008-05-23,55.00 ,0.00 ,0.00 ,,
2008-05-28,58.00 ,3.00 ,5.45 ,,
2008-05-30,59.00 ,1.00 ,1.72 ,,
2008-06-04,59.00 ,0.00 ,0.00 ,,
2008-06-06,59.00 ,0.00 ,0.00 ,,
2008-06-11,59.00 ,0.00 ,0.00 ,,
2008-06-13,59.00 ,0.00 ,0.00 ,,
2008-06-18,60.00 ,1.00 ,1.69 ,,
2008-06-20,60.00 ,0.00 ,0.00 ,,
2008-06-25,61.00 ,1.00 ,1.67 ,,
2008-06-27,61.00 ,0.00 ,0.00 ,,
2008-07-02,61.00 ,0.00 ,0.00 ,,
2008-07-04,60.00 ,-1.00 ,-1.64 ,,
2008-07-09,59.00 ,-1.00 ,-1.67 ,,
2008-07-11,58.00 ,-1.00 ,-1.69 ,,
2008-07-16,56.00 ,-2.00 ,-3.45 ,,
2008-07-18,55.00 ,-1.00 ,-1.79 ,,
2008-07-23,53.00 ,-2.00 ,-3.64 ,,
2008-07-25,51.00 ,-2.00 ,-3.77 ,,
2008-07-30,50.00 ,-1.00 ,-1.96 ,,
2008-08-01,50.00 ,0.00 ,0.00 ,,
2008-08-06,49.00 ,-1.00 ,-2.00 ,,
2008-08-13,49.00 ,0.00 ,0.00 ,,
2008-08-15,48.00 ,-1.00 ,-2.04 ,,
2008-08-20,47.00 ,-1.00 ,-2.08 ,,
2008-08-22,47.00 ,0.00 ,0.00 ,,
2008-08-27,47.00 ,0.00 ,0.00 ,,
