일자,금리
2022-06-28,3.693
2022-06-27,3.724
2022-06-26,3.625
2022-06-25,3.625
2022-06-24,3.642
2022-06-23,3.695
2022-06-22,3.703
2022-06-21,3.776
2022-06-20,3.777
2022-06-19,3.795
2022-06-17,3.795
2022-06-16,3.76
2022-06-15,3.803
2022-06-14,3.697
2022-06-13,3.644
2022-06-12,3.49
2022-06-10,3.495
2022-06-09,3.465
2022-06-08,3.474
2022-06-07,3.538
2022-06-06,3.407
2022-06-05,3.407
2022-06-04,3.407
2022-06-03,3.403
2022-06-02,3.422
2022-06-01,3.33
2022-05-31,3.324
2022-05-30,3.205
2022-05-29,3.217
2022-05-28,3.217
2022-05-27,3.211
2022-05-26,3.239
2022-05-25,3.173
2022-05-24,3.216
2022-05-23,3.257
2022-05-22,3.24
2022-05-21,3.24
2022-05-20,3.247
2022-05-19,3.307
2022-05-18,3.32
2022-05-17,3.289
2022-05-16,3.291
2022-05-15,3.23
2022-05-14,3.23
2022-05-13,3.216
2022-05-12,3.167
2022-05-11,3.273
2022-05-10,3.403
2022-05-09,3.413
2022-05-08,3.42
2022-05-07,3.42
2022-05-06,3.437
2022-05-05,3.428
2022-05-04,3.462
2022-05-03,3.408
2022-05-02,3.372
2022-05-01,3.235
2022-04-30,3.235
2022-04-29,3.245
2022-04-28,3.168
2022-04-27,3.163
2022-04-26,3.195
2022-04-25,3.21
2022-04-24,3.305
2022-04-23,3.305
2022-04-22,3.347
2022-04-21,3.29
2022-04-20,3.315
2022-04-19,3.363
2022-04-18,3.352
2022-04-17,3.32
2022-04-16,3.32
2022-04-15,3.29
2022-04-14,3.223
2022-04-13,3.284
2022-04-12,3.314
2022-04-11,3.298
2022-04-10,3.181
2022-04-09,3.181
2022-04-08,3.167
2022-04-07,3.132
2022-04-06,3.134
2022-04-05,3.08
2022-04-04,3.072
2022-04-03,3.005
2022-04-02,3.005
2022-04-01,3.007
2022-03-31,2.969
2022-03-30,2.885
2022-03-29,2.972
2022-03-28,3.028
2022-03-27,2.877
2022-03-26,2.877
2022-03-25,2.868
2022-03-24,2.855
2022-03-23,2.832
2022-03-22,2.833
2022-03-21,2.741
2022-03-20,2.731
2022-03-18,2.737
2022-03-17,2.704
2022-03-16,2.765
2022-03-15,2.759
2022-03-14,2.738
2022-03-13,2.695
2022-03-12,2.695
2022-03-11,2.7
2022-03-10,2.726
2022-03-09,2.717
2022-03-08,2.722
2022-03-07,2.707
2022-03-06,2.647
2022-03-05,2.647
2022-03-04,2.662
2022-03-03,2.647
2022-03-02,2.613
2022-03-01,2.685
2022-02-28,2.675
2022-02-27,2.667
2022-02-26,2.667
2022-02-25,2.671
2022-02-24,2.622
2022-02-23,2.724
2022-02-22,2.717
2022-02-21,2.774
2022-02-18,2.728
2022-02-17,2.708
2022-02-16,2.701
2022-02-15,2.71
2022-02-14,2.707
2022-02-13,2.735
2022-02-12,2.735
2022-02-11,2.749
2022-02-10,2.686
2022-02-09,2.689
2022-02-08,2.734
2022-02-07,2.637
2022-02-06,2.602
2022-02-05,2.602
2022-02-04,2.619
2022-02-03,2.568
2022-02-02,2.59
2022-02-01,2.59
2022-01-31,2.59
2022-01-30,2.59
2022-01-29,2.59
2022-01-28,2.586
2022-01-27,2.612
2022-01-26,2.573
2022-01-25,2.576
2022-01-24,2.538
2022-01-23,2.542
2022-01-22,2.542
2022-01-21,2.54
2022-01-20,2.557
2022-01-19,2.536
2022-01-18,2.553
2022-01-17,2.568
2022-01-16,2.464
2022-01-15,2.464
2022-01-14,2.453
2022-01-13,2.397
2022-01-12,2.428
2022-01-11,2.485
2022-01-10,2.484
2022-01-09,2.457
2022-01-08,2.457
2022-01-07,2.458
2022-01-06,2.481
2022-01-05,2.375
2022-01-04,2.314
2022-01-03,2.323
2022-01-02,2.175
2022-01-01,2.255
2021-12-31,2.255
2021-12-30,2.248
2021-12-29,2.18
2021-12-28,2.196
2021-12-27,2.212
2021-12-26,2.202
2021-12-25,2.202
2021-12-24,2.21
2021-12-23,2.215
2021-12-22,2.148
2021-12-21,2.095
2021-12-20,2.108
2021-12-19,2.152
2021-12-18,2.152
2021-12-17,2.153
2021-12-16,2.147
2021-12-15,2.166
2021-12-14,2.167
2021-12-13,2.169
2021-12-12,2.195
2021-12-11,2.195
2021-12-10,2.202
2021-12-09,2.188
2021-12-08,2.186
2021-12-07,2.24
2021-12-06,2.212
2021-12-05,2.235
2021-12-04,2.235
2021-12-03,2.233
2021-12-02,2.194
2021-12-01,2.181
2021-11-30,2.218
2021-11-29,2.265
2021-11-28,2.262
2021-11-27,2.262
2021-11-26,2.253
2021-11-25,2.347
2021-11-24,2.394
2021-11-23,2.4
2021-11-22,2.386
2021-11-21,2.38
2021-11-20,2.38
2021-11-19,2.371
2021-11-18,2.338
2021-11-17,2.36
2021-11-16,2.335
2021-11-15,2.299
2021-11-14,2.35
2021-11-13,2.35
2021-11-12,2.342
2021-11-11,2.34
2021-11-10,2.307
2021-11-09,2.294
2021-11-08,2.328
2021-11-07,2.35
2021-11-06,2.35
2021-11-05,2.35
2021-11-04,2.428
2021-11-03,2.47
2021-11-02,2.48
2021-11-01,2.498
2021-10-31,2.563
2021-10-30,2.563
2021-10-29,2.583
2021-10-28,2.391
2021-10-27,2.484
2021-10-26,2.456
2021-10-25,2.426
2021-10-24,2.408
2021-10-23,2.408
2021-10-22,2.411
2021-10-21,2.387
2021-10-20,2.39
2021-10-19,2.38
2021-10-18,2.399
2021-10-17,2.389
2021-10-16,2.36
2021-10-15,2.355
2021-10-14,2.351
2021-10-13,2.401
2021-10-12,2.447
2021-10-11,2.362
2021-10-10,2.362
2021-10-09,2.362
2021-10-08,2.376
2021-10-07,2.387
2021-10-06,2.4
2021-10-05,2.291
2021-10-04,2.25
2021-10-03,2.25
2021-10-02,2.25
2021-10-01,2.259
2021-09-30,2.237
2021-09-29,2.226
2021-09-28,2.256
2021-09-27,2.167
2021-09-26,2.157
2021-09-25,2.157
2021-09-24,2.151
2021-09-23,2.099
2021-09-22,2.072
2021-09-21,2.072
2021-09-20,2.072
2021-09-19,2.072
2021-09-18,2.072
2021-09-17,2.066
2021-09-16,2.043
2021-09-15,2.024
2021-09-14,2.058
2021-09-13,2.035
2021-09-12,1.995
2021-09-11,1.995
2021-09-10,2.008
2021-09-09,2
2021-09-08,2.019
2021-09-07,1.974
2021-09-06,1.971
2021-09-05,1.942
2021-09-03,1.943
2021-09-02,1.94
2021-09-01,1.942
2021-08-31,1.912
2021-08-30,1.913
2021-08-29,1.937
2021-08-28,1.937
2021-08-27,1.939
2021-08-26,1.927
2021-08-25,1.936
2021-08-24,1.939
2021-08-23,1.886
2021-08-22,1.92
2021-08-21,1.852
2021-08-20,1.852
2021-08-19,1.868
2021-08-18,1.88
2021-08-17,1.889
2021-08-16,1.92
2021-08-15,1.92
2021-08-13,1.924
2021-08-12,1.921
2021-08-11,1.934
2021-08-10,1.917
2021-08-09,1.915
2021-08-07,1.895
2021-08-06,1.901
2021-08-05,1.878
2021-08-04,1.866
2021-08-03,1.89
2021-08-02,1.907
2021-07-31,1.867
2021-07-30,1.876
2021-07-29,1.889
2021-07-28,1.863
2021-07-27,1.868
2021-07-26,1.863
2021-07-25,1.882
2021-07-23,1.888
2021-07-22,1.922
2021-07-21,1.877
2021-07-20,1.891
2021-07-19,1.972
2021-07-18,2.017
2021-07-17,2.017
2021-07-16,2.005
2021-07-15,2.028
2021-07-14,2.01
