일자,동행지수,선행지수
2022년 04월 01일,102.1,99.3
2022년 03월 01일,102.4,99.6
2022년 02월 01일,102.6,99.8
2022년 01월 01일,102.4,100.1
2021년 12월 01일,101.8,100.2
2021년 11월 01일,101.1,100.4
2021년 10월 01일,100.9,100.7
2021년 09월 01일,100.8,101.1
2021년 08월 01일,100.9,101.4
2021년 07월 01일,100.7,101.6
2021년 06월 01일,100.6,101.8
2021년 05월 01일,100.5,101.6
2021년 04월 01일,100.4,101.3
2021년 03월 01일,99.7,100.9
2021년 02월 01일,99.2,100.7
2021년 01월 01일,99.2,100.5
2020년 12월 01일,99.4,100.2
2020년 11월 01일,99.4,100
2020년 10월 01일,98.9,99.5
2020년 09월 01일,98.3,99.2
2020년 08월 01일,98,98.9
2020년 07월 01일,97.4,98.5
2020년 06월 01일,97.2,98.2
2020년 05월 01일,97,97.9
2020년 04월 01일,97.8,98.2
2020년 03월 01일,99,98.5
2020년 02월 01일,100.1,99
2020년 01월 01일,100.8,99
2019년 12월 01일,100.5,99
2019년 11월 01일,100.2,98.7
2019년 10월 01일,100.4,98.4
2019년 09월 01일,100.4,98.1
2019년 08월 01일,100.4,98
2019년 07월 01일,100.2,98.1
2019년 06월 01일,100.2,98.3
2019년 05월 01일,100.2,98.6
2019년 04월 01일,99.9,98.8
2019년 03월 01일,100.1,98.8
2019년 02월 01일,100.1,98.7
2019년 01월 01일,100.7,98.8
2018년 12월 01일,100.5,98.9
2018년 11월 01일,100.7,99.2
2018년 10월 01일,100.9,99.4
2018년 09월 01일,101.1,99.7
2018년 08월 01일,101.5,99.9
2018년 07월 01일,101.6,100.2
2018년 06월 01일,101.8,100.3
2018년 05월 01일,101.8,100.4
2018년 04월 01일,101.9,100.4
2018년 03월 01일,101.9,100.8
2018년 02월 01일,101.9,100.8
2018년 01월 01일,101.7,100.8
2017년 12월 01일,101.7,100.8
2017년 11월 01일,102.1,100.9
2017년 10월 01일,102.1,101
2017년 09월 01일,102.3,101
2017년 08월 01일,102.1,101.1
2017년 07월 01일,102.1,100.9
2017년 06월 01일,102.1,100.9
2017년 05월 01일,102.1,100.7
2017년 04월 01일,101.9,100.7
2017년 03월 01일,101.9,100.6
2017년 02월 01일,101.6,100.5
2017년 01월 01일,101.6,100.3
2016년 12월 01일,101.1,100.1
2016년 11월 01일,100.9,99.9
2016년 10월 01일,100.6,99.8
2016년 09월 01일,100.8,99.7
2016년 08월 01일,101,99.5
2016년 07월 01일,100.9,99.4
2016년 06월 01일,100.6,99.2
2016년 05월 01일,100.3,99.3
2016년 04월 01일,100,99.3
2016년 03월 01일,100,99.3
2016년 02월 01일,100.1,99.4
2016년 01월 01일,100.2,99.7
2015년 12월 01일,100.6,100
2015년 11월 01일,100.7,100.4
2015년 10월 01일,100.9,100.5
2015년 09월 01일,100.5,100.5
2015년 08월 01일,99.9,100.3
2015년 07월 01일,99.4,100.4
2015년 06월 01일,99.4,100.4
2015년 05월 01일,99.4,100.6
2015년 04월 01일,99.9,100.4
2015년 03월 01일,99.9,100.3
2015년 02월 01일,100.1,100.1
2015년 01월 01일,99.7,99.9
2014년 12월 01일,99.7,99.7
2014년 11월 01일,99.4,99.7
2014년 10월 01일,99.5,99.6
2014년 09월 01일,99.9,99.6
2014년 08월 01일,100.2,99.4
2014년 07월 01일,100.1,99.3
2014년 06월 01일,100.1,99.4
2014년 05월 01일,100.1,99.5
2014년 04월 01일,100.3,99.7
2014년 03월 01일,100.5,99.8
2014년 02월 01일,100.4,99.9
2014년 01월 01일,100.4,99.9
2013년 12월 01일,100.2,100
2013년 11월 01일,100.1,99.9
2013년 10월 01일,100.1,99.9
2013년 09월 01일,99.9,99.8
2013년 08월 01일,100.1,99.9
2013년 07월 01일,100,99.8
2013년 06월 01일,100.1,99.6
2013년 05월 01일,99.8,99.4
2013년 04월 01일,99.8,99.4
2013년 03월 01일,99.7,99.4
2013년 02월 01일,100,99.4
2013년 01월 01일,100,99.3
2012년 12월 01일,100.1,99.4
2012년 11월 01일,100,99.3
2012년 10월 01일,99.7,99.3
2012년 09월 01일,100.1,99.3
2012년 08월 01일,100.1,99.6
2012년 07월 01일,100.7,99.9
2012년 06월 01일,100.5,100.1
2012년 05월 01일,100.5,100.2
2012년 04월 01일,100.4,100.5
2012년 03월 01일,100.5,100.3
2012년 02월 01일,100.6,100
2012년 01월 01일,100.2,99.6
2011년 12월 01일,100.5,99.6
2011년 11월 01일,100.6,99.7
2011년 10월 01일,101,99.9
2011년 09월 01일,100.9,100.1
2011년 08월 01일,101.3,100.3
2011년 07월 01일,101.2,100.5
2011년 06월 01일,101.1,100.6
2011년 05월 01일,100.8,100.7
2011년 04월 01일,100.4,100.9
2011년 03월 01일,100.8,101.2
2011년 02월 01일,100.7,101.2
2011년 01월 01일,100.9,101.1
2010년 12월 01일,100,100.7
2010년 11월 01일,99.8,100.9
2010년 10월 01일,99.9,101.1
2010년 09월 01일,100.4,101.6
2010년 08월 01일,100.9,101.8
2010년 07월 01일,101.2,102
2010년 06월 01일,101,102.1
2010년 05월 01일,100.9,102.1
2010년 04월 01일,100.5,102.1
2010년 03월 01일,100.1,102.3
2010년 02월 01일,99.7,102.5
2010년 01월 01일,99.3,102.7
2009년 12월 01일,99,102.6
2009년 11월 01일,99.1,102.3
2009년 10월 01일,99,101.7
2009년 09월 01일,98.8,101.1
2009년 08월 01일,98.7,100.8
2009년 07월 01일,98.6,100.6
2009년 06월 01일,98.4,100.4
2009년 05월 01일,97.8,99.5
2009년 04월 01일,97.8,98.9
2009년 03월 01일,97.6,97.7
2009년 02월 01일,97.6,97.2
2009년 01월 01일,97.7,96.7
2008년 12월 01일,98.4,97
2008년 11월 01일,99.6,97.4
2008년 10월 01일,100.4,97.9
2008년 09월 01일,100.7,98.3
2008년 08월 01일,100.8,98.5
2008년 07월 01일,100.9,98.6
2008년 06월 01일,101.2,99
2008년 05월 01일,101.7,99.5
2008년 04월 01일,102,99.8
2008년 03월 01일,102.3,100
2008년 02월 01일,102.3,100.5
2008년 01월 01일,102.4,101.1
2007년 12월 01일,102.1,101.5
2007년 11월 01일,101.7,101.7
2007년 10월 01일,101.6,101.6
2007년 09월 01일,101.5,101.8
2007년 08월 01일,101.6,101.8
2007년 07월 01일,101.5,101.7
2007년 06월 01일,101.5,101.2
2007년 05월 01일,101.4,100.9
2007년 04월 01일,101.4,100.9
2007년 03월 01일,101.2,100.8
2007년 02월 01일,101,100.8
2007년 01월 01일,100.8,100.7
2006년 12월 01일,101,100.7
2006년 11월 01일,100.8,100.9
2006년 10월 01일,100.5,100.6
2006년 09월 01일,99.5,100.1
2006년 08월 01일,99.3,99.6
2006년 07월 01일,99.3,99.9
2006년 06월 01일,100,100.4
2006년 05월 01일,100.1,100.8
2006년 04월 01일,99.9,100.7
2006년 03월 01일,99.9,101
2006년 02월 01일,99.7,101
2006년 01월 01일,99.8,100.9
2005년 12월 01일,99.4,100.4
2005년 11월 01일,99.1,100.1
2005년 10월 01일,98.7,99.8
2005년 09월 01일,98.7,99.7
2005년 08월 01일,98.7,99.5
2005년 07월 01일,98.7,99.1
2005년 06월 01일,98.6,98.8
2005년 05월 01일,98.7,99.3
2005년 04월 01일,98.6,99.6
2005년 03월 01일,98.8,99.6
2005년 02월 01일,98.7,99.1
2005년 01월 01일,99,98.8
2004년 12월 01일,99.1,99
2004년 11월 01일,99.5,99.2
2004년 10월 01일,99.6,99.3
2004년 09월 01일,99.8,99.3
2004년 08월 01일,100,99.4
2004년 07월 01일,100.5,99.8
2004년 06월 01일,100.9,100.2
2004년 05월 01일,101.1,100.5
2004년 04월 01일,101.5,100.9
2004년 03월 01일,101.5,100.9
2004년 02월 01일,101.4,100.8
2004년 01월 01일,100.8,100.6
2003년 12월 01일,100.5,100.3
2003년 11월 01일,100.2,100.3
2003년 10월 01일,100.1,100.4
2003년 09월 01일,99.7,99.9
2003년 08월 01일,99.7,99.8
2003년 07월 01일,99.6,99.3
2003년 06월 01일,99.7,99.4
2003년 05월 01일,99.7,99
2003년 04월 01일,99.8,99.3
2003년 03월 01일,100.4,99.7
2003년 02월 01일,100.7,99.9
2003년 01월 01일,101.2,100.2
2002년 12월 01일,101.4,100.4
2002년 11월 01일,101.5,100.3
2002년 10월 01일,101.3,100.4
2002년 09월 01일,101.3,101.3
2002년 08월 01일,101,101.8
2002년 07월 01일,101.1,102.3
2002년 06월 01일,101.1,103
2002년 05월 01일,101.5,104
2002년 04월 01일,101.7,104.3
2002년 03월 01일,101.5,104
2002년 02월 01일,100.6,102.5
2002년 01월 01일,100.1,101.2
2001년 12월 01일,99.7,99.3
2001년 11월 01일,100.1,97.9
2001년 10월 01일,99.8,96.7
2001년 09월 01일,99.4,96.4
2001년 08월 01일,98.9,96.4
2001년 07월 01일,99.1,96.7
2001년 06월 01일,99.7,97
2001년 05월 01일,99.7,96.9
2001년 04월 01일,99.5,96.4
2001년 03월 01일,99.8,96.3
2001년 02월 01일,99.9,96.2
2001년 01월 01일,100.2,96.5
2000년 12월 01일,100.6,98.1
2000년 11월 01일,101.2,99.5
2000년 10월 01일,101.7,102.3
2000년 09월 01일,102.3,104
2000년 08월 01일,102.5,104.9
2000년 07월 01일,102.6,104.4
2000년 06월 01일,101.7,104.6
2000년 05월 01일,101.4,104.5
2000년 04월 01일,100.9,104.9
2000년 03월 01일,100.7,105.6
2000년 02월 01일,100.4,105.6
2000년 01월 01일,100.4,105.6
1999년 12월 01일,100.4,104.5
1999년 11월 01일,100.4,104.6
1999년 10월 01일,99.9,104.2
1999년 09월 01일,99.8,104.6
1999년 08월 01일,99.3,104.6
1999년 07월 01일,98.8,103.9
1999년 06월 01일,98.1,102.7
1999년 05월 01일,97.5,101.1
1999년 04월 01일,97.2,100.2
1999년 03월 01일,96.9,99.2
1999년 02월 01일,96.6,98
1999년 01월 01일,96.5,96.6
1998년 12월 01일,96.1,95.5
1998년 11월 01일,95.5,94.6
1998년 10월 01일,94.3,94
1998년 09월 01일,93.2,93.4
1998년 08월 01일,93,93
1998년 07월 01일,93.3,92.3
1998년 06월 01일,93.9,92
1998년 05월 01일,94.7,92.2
1998년 04월 01일,95.4,92
1998년 03월 01일,96.6,91.2
1998년 02월 01일,98.6,91.1
1998년 01월 01일,100.7,92.8
1997년 12월 01일,102.3,95.8
1997년 11월 01일,103.2,98.8
1997년 10월 01일,103.7,100.1
1997년 09월 01일,104.1,100.7
1997년 08월 01일,104.2,101.2
1997년 07월 01일,104.2,101
1997년 06월 01일,104.3,101.1
1997년 05월 01일,104.5,100.9
1997년 04월 01일,104.5,101.1
1997년 03월 01일,104.1,100.4
1997년 02월 01일,104.3,100.1
1997년 01월 01일,104.3,99.8
1996년 12월 01일,104.9,100
1996년 11월 01일,104.8,99.6
1996년 10월 01일,104.7,100.1
1996년 09월 01일,104.6,101.1
1996년 08월 01일,104.6,102
