발표일,발표,예측,이전
2022-07-14,,,1.75%
2022-05-26,1.75,1.75%,1.50%
2022-04-14,1.5,1.25%,1.25%
2022-02-24,1.25,1.25%,1.25%
2022-01-14,1.25,1.25%,1.00%
2021-11-25,1,1.00%,0.75%
2021-10-12,0.75,0.75%,0.75%
2021-08-26,0.75,0.75%,0.50%
2021-07-15,0.5,0.50%,0.50%
2021-05-27,0.5,0.50%,0.50%
2021-04-15,0.5,0.50%,0.50%
2021-02-25,0.5,0.50%,0.50%
2021-01-15,0.5,0.50%,0.50%
2020-11-26,0.5,0.50%,0.50%
2020-10-14,0.5,0.50%,0.50%
2020-08-27,0.5,0.50%,0.50%
2020-07-16,0.5,0.50%,0.50%
2020-05-28,0.5,0.50%,0.75%
2020-04-09,0.75,0.75%,0.75%
2020-03-16,0.75,,1.25%
2020-02-27,1.25,1.00%,1.25%
2020-01-17,1.25,1.25%,1.25%
2019-11-29,1.25,1.25%,1.25%
2019-10-16,1.25,1.25%,1.50%
2019-08-30,1.5,1.50%,1.50%
2019-07-18,1.5,1.75%,1.75%
2019-05-31,1.75,1.75%,1.75%
2019-04-18,1.75,1.75%,1.75%
2019-02-28,1.75,1.75%,1.75%
2019-01-24,1.75,1.75%,1.75%
2018-11-30,1.75,1.75%,1.50%
2018-10-18,1.5,1.50%,1.50%
2018-08-31,1.5,1.50%,1.50%
2018-07-12,1.5,1.50%,1.50%
2018-05-24,1.5,1.50%,1.50%
2018-04-12,1.5,1.50%,1.50%
2018-02-27,1.5,1.50%,1.50%
2018-01-18,1.5,1.50%,1.50%
2017-11-30,1.5,1.50%,1.25%
2017-10-19,1.25,1.25%,1.25%
2017-08-31,1.25,1.25%,1.25%
2017-07-13,1.25,1.25%,1.25%
2017-05-25,1.25,1.25%,1.25%
2017-04-13,1.25,1.25%,1.25%
2017-02-23,1.25,1.25%,1.25%
2017-01-13,1.25,1.25%,1.25%
2016-12-15,1.25,1.25%,1.25%
2016-11-11,1.25,1.25%,1.25%
2016-10-13,1.25,1.25%,1.25%
2016-09-09,1.25,1.25%,1.25%
2016-08-11,1.25,1.25%,1.25%
2016-07-14,1.25,1.25%,1.25%
2016-06-09,1.25,1.50%,1.50%
2016-05-13,1.5,1.50%,1.50%
2016-04-19,1.5,1.50%,1.50%
2016-03-10,1.5,1.50%,1.50%
2016-02-16,1.5,1.50%,1.50%
2016-01-14,1.5,1.50%,1.50%
2015-12-10,1.5,1.50%,1.50%
2015-11-12,1.5,1.50%,1.50%
2015-10-15,1.5,1.50%,1.50%
2015-09-11,1.5,1.50%,1.50%
2015-08-13,1.5,1.50%,1.50%
2015-07-09,1.5,1.50%,1.50%
2015-06-11,1.5,1.50%,1.75%
2015-05-15,1.75,1.75%,1.75%
2015-04-09,1.75,1.75%,1.75%
2015-03-12,1.75,2.00%,2.00%
2015-02-17,2,2.00%,2.00%
2015-01-15,2,2.00%,2.00%
2014-12-11,2,2.00%,2.00%
2014-11-13,2,2.00%,2.00%
2014-10-16,2,2.00%,2.25%
2014-09-12,2.25,2.25%,2.25%
2014-08-14,2.25,2.25%,2.50%
2014-07-10,2.5,2.50%,2.50%
2014-06-12,2.5,2.50%,2.50%
2014-05-09,2.5,2.50%,2.50%
2014-04-10,2.5,2.50%,2.50%
2014-03-13,2.5,2.50%,2.50%
2014-02-13,2.5,2.50%,2.50%
2014-01-09,2.5,2.50%,2.50%
2013-12-12,2.5,2.50%,2.50%
2013-11-14,2.5,2.50%,2.50%
2013-10-10,2.5,2.50%,2.50%
2013-09-12,2.5,2.50%,2.50%
2013-08-08,2.5,2.50%,2.50%
2013-07-11,2.5,2.50%,2.50%
2013-06-13,2.5,2.50%,2.50%
2013-05-09,2.5,2.75%,2.75%
2013-04-11,2.75,2.50%,2.75%
2013-03-14,2.75,2.75%,2.75%
2013-02-14,2.75,2.75%,2.75%
